"","sourceID","Source","Target","popularity","followers","id"
"138","5WUlDfRSoLAfcVSX1WnrxN","Sia","Björk",60,446124,"7w29UYBi0qsHi5RTcv3lmA"
"139","5WUlDfRSoLAfcVSX1WnrxN","Sia","Lily Allen",68,605374,"13saZpZnCDWOI9D4IJhp1f"
"140","5WUlDfRSoLAfcVSX1WnrxN","Sia","Gotye",64,1923129,"2AsusXITU8P25dlRNhcAbG"
"141","1l8Fu6IkuTP0U5QetQJ5Xt","Fifth Harmony","Selena Gomez",87,2410539,"0C8ZW7ezQVs4URX5aX7Kqx"
"142","1l8Fu6IkuTP0U5QetQJ5Xt","Fifth Harmony","Nick Jonas",82,641564,"4Rxn7Im3LGfyRkY2FlHhWi"
"143","1l8Fu6IkuTP0U5QetQJ5Xt","Fifth Harmony","Ariana Grande",89,4075807,"66CXWjxzNUsdJxJ2JdwvnR"
"144","1l8Fu6IkuTP0U5QetQJ5Xt","Fifth Harmony","Little Mix",78,1113535,"3e7awlrlDSwF3iM0WBjGMp"
"145","1l8Fu6IkuTP0U5QetQJ5Xt","Fifth Harmony","Justin Bieber",90,5998891,"1uNFoZAHBGtllmzznpCI3s"
"146","1l8Fu6IkuTP0U5QetQJ5Xt","Fifth Harmony","Meghan Trainor",83,1481834,"6JL8zeS1NmiOftqZTRgdTz"
"147","1l8Fu6IkuTP0U5QetQJ5Xt","Fifth Harmony","Shawn Mendes",86,1571829,"7n2wHs1TKAczGzO7Dd2rGr"
"148","1l8Fu6IkuTP0U5QetQJ5Xt","Fifth Harmony","One Direction",85,5293683,"4AK6F7OLvEQ5QYCBNiQWHq"
"149","1l8Fu6IkuTP0U5QetQJ5Xt","Fifth Harmony","Becky G",70,654895,"4obzFoKoKRHIphyHzJ35G3"
"150","1l8Fu6IkuTP0U5QetQJ5Xt","Fifth Harmony","Demi Lovato",81,2322927,"6S2OmqARrzebs0tKUEyXyp"
"151","1l8Fu6IkuTP0U5QetQJ5Xt","Fifth Harmony","Hailee Steinfeld",75,210350,"5p7f24Rk5HkUZsaS3BLG5F"
"152","1l8Fu6IkuTP0U5QetQJ5Xt","Fifth Harmony","Tori Kelly",70,486475,"1vSN1fsvrzpbttOYGsliDr"
"153","1l8Fu6IkuTP0U5QetQJ5Xt","Fifth Harmony","Charlie Puth",83,624360,"6VuMaDnrHyPL1p4EHjYLi7"
"154","1l8Fu6IkuTP0U5QetQJ5Xt","Fifth Harmony","Bebe Rexha",81,149732,"64M6ah0SkkRsnPGtGiRAbb"
"155","1l8Fu6IkuTP0U5QetQJ5Xt","Fifth Harmony","ZAYN",82,925377,"5ZsFI1h6hIdQRw2ti0hz81"
"156","1l8Fu6IkuTP0U5QetQJ5Xt","Fifth Harmony","Zendaya",61,357752,"6sCbFbEjbYepqswM1vWjjs"
"157","1l8Fu6IkuTP0U5QetQJ5Xt","Fifth Harmony","Rachel Platten",69,163939,"3QLIkT4rD2FMusaqmkepbq"
"158","1l8Fu6IkuTP0U5QetQJ5Xt","Fifth Harmony","Bea Miller",62,259198,"1o2NpYGqHiCq7FoiYdyd1x"
"159","1l8Fu6IkuTP0U5QetQJ5Xt","Fifth Harmony","Kat Dahlia",60,88656,"1peH5tSqnYm8W6Bo3I5egE"
"160","1l8Fu6IkuTP0U5QetQJ5Xt","Fifth Harmony","Carly Rae Jepsen",72,1735323,"6sFIWsNpZYqfjUpaCgueju"
"161","3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","X Ambassadors",78,259200,"3NPpFNZtSTHheNBaWC82rB"
"162","3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","WALK THE MOON",73,515713,"6DIS6PRrLS3wbnZsf7vYic"
"163","3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","The Neighbourhood",73,874747,"77SW9BnxLY8rJ0RciFqkHh"
"164","3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","Elle King",70,178444,"3bhu7P5PfngueRHiB9hjcx"
"165","3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","Imagine Dragons",84,3346527,"53XhwfbYqKCa1cC15pYq2q"
"166","3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","Neon Trees",62,424157,"0RpddSzUHfncUWNJXKOsjy"
"167","3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","New Politics",55,128514,"3RbyaF3Pq6iDUKNp04AIcU"
"168","3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","Melanie Martinez",80,929469,"63yrD80RY3RNEM2YDpUpO8"
"169","3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","Halsey",79,985258,"26VFTg2z8YR0cCuwLzESi2"
"170","3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","Fall Out Boy",80,2145944,"4UXqAaa6dQYAk18Lv7PEgX"
"171","3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","Panic! At The Disco",81,1603487,"20JZFwl6HVl6yg8a4H3ZqK"
"172","3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","Troye Sivan",79,1118117,"3WGpXCj9YhhfX11TToZcXP"
"173","3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","AWOLNATION",69,723281,"4njdEjTnLfcGImKZu1iSrz"
"174","3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","Young the Giant",67,542048,"4j56EQDQu5XnL7R3E9iFJT"
"175","3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","The 1975",79,1241102,"3mIj9lX2MWuHmhNCA7LSCW"
"176","3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","fun.",68,2656480,"5nCi3BB41mBaMH9gfr6Su0"
"177","3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","Atlas Genius",58,146360,"42vg2T0Xg9yPaAgogJzoQH"
"178","3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","Youngblood Hawke",53,84476,"6VXZCpbkwm0W0aPjQR1t4K"
"179","3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","Foster The People",71,1550368,"7gP3bB2nilZXLfPHJhMdvc"
"180","3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","Bastille",76,1604385,"7EQ0qTo7fWT7DPxmxtSYEc"
"181","4sTQVOfp9vEMCemLw50sbu","Galantis","Axwell /\ Ingrosso",69,144908,"2XnBwblw31dfGnspMIwgWz"
"182","4sTQVOfp9vEMCemLw50sbu","Galantis","Alesso",75,590316,"4AVFqumd2ogHFlRbKIjp1t"
"183","4sTQVOfp9vEMCemLw50sbu","Galantis","Deorro",76,300500,"6VD4UEUPvtsemqD3mmTqCR"
"184","4sTQVOfp9vEMCemLw50sbu","Galantis","Tiësto",80,1342324,"2o5jDhtHVPhrJdv3cEQ99Z"
"185","4sTQVOfp9vEMCemLw50sbu","Galantis","The Chainsmokers",87,676993,"69GGBxA162lTqCwzJG5jLp"
"186","4sTQVOfp9vEMCemLw50sbu","Galantis","Otto Knows",71,150558,"5fahUm8t5c0GIdeTq0ZaG8"
"187","4sTQVOfp9vEMCemLw50sbu","Galantis","Major Lazer",88,1205440,"738wLrAtLtCtFOLvQBXOXp"
"188","4sTQVOfp9vEMCemLw50sbu","Galantis","CAZZETTE",65,200391,"1IELhvOMg5VQlU7syRm6CS"
"189","4sTQVOfp9vEMCemLw50sbu","Galantis","Calvin Harris",89,4702154,"7CajNmpbOovFoOoasH2HaY"
"190","4sTQVOfp9vEMCemLw50sbu","Galantis","Martin Solveig",71,195690,"1bj5GrcLom5gZFF5t949Xl"
"191","4sTQVOfp9vEMCemLw50sbu","Galantis","Avicii",82,4944742,"1vCWHaC5f2uS3yhpwWbIA6"
"192","4sTQVOfp9vEMCemLw50sbu","Galantis","Zedd",76,930842,"2qxJFvFYMEDqd7ui6kSAcq"
"193","4sTQVOfp9vEMCemLw50sbu","Galantis","Kygo",85,1027032,"23fqKkggKUBHNkbKtXEls4"
"194","4sTQVOfp9vEMCemLw50sbu","Galantis","Martin Garrix",75,1482786,"60d24wfXkVzDSfLS6hyCjZ"
